model,rule,fields,governance_fields,pushdownable,reason
sale.order,Portal Personal Quotations/Sales Orders,partner_id,partner_id,False,op:child_of
sale.order,Personal Orders,user_id,user_id,False,or/not
sale.order.line,All Orders Lines,(none),(none),False,no-field
sale.order.line,Stock User Sales Orders Line,(none),(none),False,no-field
sale.order.line,Sales Order Line multi-company,company_id,company_id,True,simple
sale.order.line,Project Manager Sales Orders Line,"is_service,project_id,state,task_id",(none),False,or/not;multi-field;op:!=
sale.order.line,Portal Sales Orders Line,partner_id,partner_id,False,op:child_of
sale.order.line,Personal Order Lines,salesman_id,salesman_id,False,or/not
sale.order.template,Quotation Template multi-company,company_id,company_id,True,simple
sale.report,All Orders Analysis,(none),(none),False,no-field
sale.report,Sales Order Analysis multi-company,company_id,company_id,True,simple
sale.report,Personal Orders Analysis,user_id,user_id,False,or/not
stock.location,Location multi-company,company_id,company_id,True,simple
stock.lot,Stock Production Lot multi-company,company_id,company_id,True,simple
stock.move,stock_move multi-company,company_id,company_id,True,simple
stock.move.line,stock_move_line multi-company,company_id,company_id,True,simple
stock.package,stock_package multi-company,company_id,company_id,True,simple
stock.picking,stock_picking multi-company,company_id,company_id,True,simple
stock.picking,Portal Follower Transfers,partner_id,partner_id,False,or/not
stock.picking.type,Stock Operation Type multi-company,company_id,company_id,True,simple
stock.putaway.rule,Stock Operation Type multi-company,company_id,company_id,True,simple
stock.quant,stock_quant multi-company,company_id,company_id,True,simple
stock.route,stock_route multi-company,company_id,company_id,True,simple
stock.rule,product_pulled_flow multi-company,company_id,company_id,True,simple
stock.scrap,stock_scrap_company multi-company,company_id,company_id,True,simple
stock.storage.category,stock_storage_category multi-company,company_id,company_id,True,simple
stock.warehouse,Warehouse multi-company,company_id,company_id,True,simple
stock.warehouse.orderpoint,stock_warehouse.orderpoint multi-company,company_id,company_id,True,simple
